net,length_um
net1328,155.36µm
u_wm0.u_dm.data_mem\[13\]\[21\],155.28µm
_3246_,155µm
_2999_,154.97µm
u_wm0.u_dm.data_mem\[11\]\[9\],154.67µm
_2902_,154.51µm
clknet_leaf_9_clk,154.46µm
net1617,154.33µm
_1604_,154.115µm
net1739,153.92µm
net1972,153.82µm
_2960_,153.725µm
net2591,153.49µm
_0902_,153.335µm
net1870,153.22µm
net1573,152.9µm
_2001_,152.88µm
u_wm0.u_dm.data_mem\[4\]\[14\],152.66µm
net2712,152.54µm
net1344,152.52µm
net1388,152.31µm
pc\[20\],152.24µm
net1661,152.1µm
net2069,151.95µm
_3223_,151.82µm
net2417,151.76µm
net2147,151.52µm
_3178_,151.52µm
_3226_,151.18µm
net1483,151.17µm
_0975_,151.13µm
net2098,151.1µm
clknet_leaf_32_clk,150.72µm
_2657_,150.64µm
_1940_,150.315µm
net2735,150.25µm
clknet_leaf_44_clk,150µm
_1735_,150µm
_2006_,149.99µm
U_rf0.rd\[3\]\[21\],149.56µm
net2509,149.42µm
_1909_,149.03µm
net1193,148.93µm
clknet_leaf_13_clk,148.76µm
net1394,148.66µm
net2505,148.6µm
net1210,148.49µm
_2832_,148.485µm
clknet_leaf_21_clk,148.12µm
_3019_,148.12µm
net1175,148.06µm
pc\[13\],148.01µm
net1818,147.945µm
U_rf0.rd\[7\]\[5\],147.92µm
clknet_leaf_7_clk,147.9µm
result[6],147.83µm
u_wm0.u_dm.data_mem\[7\]\[11\],147.64µm
net1171,147.51µm
net1293,147.45µm
net1820,147.21µm
u_wm0.u_dm.data_mem\[3\]\[21\],147.05µm
net1621,146.74µm
U_rf0.rd\[10\]\[15\],146.7µm
_1855_,146.5µm
net1637,146.33µm
net1397,146.24µm
net2458,145.92µm
net1331,145.5µm
net2103,145.5µm
_1350_,145.19µm
net1185,145.01µm
_3101_,145µm
_3013_,144.96µm
clknet_leaf_19_clk,144.78µm
clknet_leaf_29_clk,144.72µm
_2890_,144.39µm
u_wm0.u_dm.data_mem\[5\]\[14\],144.22µm
u_wm0.u_dm.data_mem\[14\]\[16\],144.15µm
_1844_,144.1µm
net1192,143.8µm
net1161,143.62µm
net1935,143.56µm
_2018_,143.52µm
net2743,143.22µm
pc\[7\],143µm
net1771,142.44µm
net2579,142.34µm
net1319,142.19µm
U_rf0.rd\[7\]\[20\],142.1µm
u_wm0.u_dm.data_mem\[13\]\[16\],142.07µm
net2608,141.83µm
net1891,141.6µm
_3187_,141.6µm
_1914_,141.35µm
net1475,140.765µm
net1310,140.7µm
clknet_leaf_11_clk,140.68µm
net1341,140.66µm
net1614,140.64µm
net2113,140.64µm
clknet_leaf_14_clk,140.43µm
net1234,140.4µm
clknet_leaf_39_clk,140.38µm
net1198,140.37µm
net1734,139.97µm
net1329,139.815µm
net2138,139.47µm
clknet_leaf_18_clk,139.41µm
u_wm0.u_dm.data_mem\[6\]\[11\],139.34µm
net1653,139.21µm
net1285,139.03µm
net1670,138.92µm
net1334,138.84µm
u_wm0.u_dm.data_mem\[11\]\[14\],138.68µm
clknet_leaf_5_clk,138.42µm
net1195,138.31µm
clknet_leaf_37_clk,138.205µm
U_rf0.rd\[4\]\[15\],138.18µm
net2123,138.01µm
net216,138µm
net1318,137.96µm
pc\[19\],137.85µm
net1462,137.82µm
net1608,137.78µm
net1793,137.62µm
_1228_,137.37µm
U_rf0.rd\[7\]\[17\],136.9µm
clknet_leaf_20_clk,136.4µm
_1665_,136.29µm
net2709,136.28µm
_3043_,136.07µm
net1788,136.02µm
_1952_,135.99µm
net1420,135.6µm
_1175_,135.555µm
_2353_,135.28µm
clknet_leaf_30_clk,135.16µm
_1094_,134.84µm
net1990,134.7µm
u_wm0.u_dm.data_mem\[13\]\[19\],134.64µm
U_rf0.rd\[7\]\[31\],134.55µm
_2874_,134.365µm
clknet_leaf_1_clk,134.36µm
net1162,134.2µm
_2661_,134.04µm
net1479,133.745µm
clknet_leaf_15_clk,133.61µm
net1716,133.49µm
net1272,133.22µm
clknet_leaf_41_clk,133.1µm
clknet_leaf_0_clk,132.83µm
net1170,132.59µm
net1206,132.56µm
clknet_leaf_12_clk,132.52µm
pc\[12\],132.51µm
net2577,132.44µm
U_rf0.rd\[3\]\[25\],132.41µm
net1330,132.36µm
net1704,132.12µm
clknet_leaf_16_clk,131.955µm
net1422,131.85µm
_2978_,131.82µm
u_wm0.u_dm.data_mem\[13\]\[17\],131.62µm
u_wm0.u_dm.data_mem\[0\]\[27\],131.36µm
_1618_,131.32µm
net2007,131.26µm
net2108,131.125µm
net1218,131.095µm
pc\[6\],131.08µm
net1923,130.635µm
clknet_leaf_26_clk,130.485µm
pc\[27\],130.42µm
U_rf0.rd\[4\]\[31\],130.28µm
net1522,130.16µm
U_rf0.rd\[4\]\[12\],130.1µm
clknet_leaf_4_clk,129.84µm
net1597,129.68µm
net1664,129.55µm
pc_plus4\[6\],129.49µm
net1282,129.29µm
net1535,129.14µm
