Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_95_578,VGND,li1,272.0900,272.0000,0.000065
FILLER_95_538,VGND,li1,253.4600,272.0000,0.000064
FILLER_95_501,VGND,li1,236.6700,272.0000,0.000117
FILLER_95_466,VGND,li1,220.1100,272.0000,0.000083
FILLER_95_428,VGND,li1,203.0900,272.0000,0.000084
FILLER_95_425,VGND,li1,201.7100,272.0000,0.000080
FILLER_95_413,VGND,li1,196.1900,272.0000,0.000071
FILLER_95_393,VGND,li1,186.9900,272.0000,0.000102
FILLER_95_358,VGND,li1,170.4300,272.0000,0.000122
FILLER_95_333,VGND,li1,159.3900,272.0000,0.000102
FILLER_95_330,VGND,li1,158.0100,272.0000,0.000102
FILLER_95_298,VGND,li1,143.0600,272.0000,0.000125
FILLER_95_225,VGND,li1,109.2500,272.0000,0.000188
FILLER_95_211,VGND,li1,102.8100,272.0000,0.000147
FILLER_95_197,VGND,li1,96.6000,272.0000,0.000196
FILLER_95_169,VGND,li1,83.9500,272.0000,0.000166
FILLER_95_165,VGND,li1,82.1100,272.0000,0.000154
FILLER_95_149,VGND,li1,74.7500,272.0000,0.000102
FILLER_95_122,VGND,li1,62.1000,272.0000,0.000105
FILLER_95_66,VGND,li1,36.1100,272.0000,0.000117
FILLER_95_55,VGND,li1,31.0500,272.0000,0.000120
FILLER_95_44,VGND,li1,26.2200,272.0000,0.000115
FILLER_95_24,VGND,li1,17.2500,272.0000,0.000080
FILLER_95_3,VGND,li1,7.5900,272.0000,0.000060
FILLER_94_611,VGND,li1,286.8100,266.5600,0.000021
FILLER_94_592,VGND,li1,278.3000,266.5600,0.000029
FILLER_94_589,VGND,li1,277.1500,266.5600,0.000033
FILLER_94_585,VGND,li1,275.3100,266.5600,0.000037
FILLER_94_582,VGND,li1,273.9300,266.5600,0.000037
FILLER_94_564,VGND,li1,265.1900,266.5600,0.000044
FILLER_94_561,VGND,li1,264.2700,266.5600,0.000044
FILLER_94_558,VGND,li1,262.8900,266.5600,0.000044
FILLER_94_547,VGND,li1,257.6000,266.5600,0.000046
FILLER_94_531,VGND,li1,250.0100,266.5600,0.000059
FILLER_94_521,VGND,li1,245.4100,266.5600,0.000073
FILLER_94_518,VGND,li1,244.4900,266.5600,0.000073
FILLER_94_500,VGND,li1,235.7500,266.5600,0.000093
FILLER_94_486,VGND,li1,229.3100,266.5600,0.000083
FILLER_94_432,VGND,li1,204.7000,266.5600,0.000091
FILLER_94_421,VGND,li1,199.6400,266.5600,0.000084
FILLER_94_417,VGND,li1,198.0300,266.5600,0.000084
FILLER_94_398,VGND,li1,189.0600,266.5600,0.000111
FILLER_94_393,VGND,li1,186.5300,266.5600,0.000128
FILLER_94_374,VGND,li1,178.0200,266.5600,0.000138
FILLER_94_363,VGND,li1,172.7300,266.5600,0.000137
FILLER_94_298,VGND,li1,143.0600,266.5600,0.000120
FILLER_94_279,VGND,li1,134.5500,266.5600,0.000087
FILLER_94_257,VGND,li1,124.2000,266.5600,0.000088
FILLER_94_250,VGND,li1,120.9800,266.5600,0.000086
FILLER_94_197,VGND,li1,96.3700,266.5600,0.000086
FILLER_94_151,VGND,li1,75.6700,266.5600,0.000100
FILLER_94_141,VGND,li1,70.6100,266.5600,0.000111
FILLER_94_103,VGND,li1,53.5900,266.5600,0.000136
FILLER_94_85,VGND,li1,44.8500,266.5600,0.000117
FILLER_94_66,VGND,li1,36.5700,266.5600,0.000115
FILLER_94_29,VGND,li1,19.5500,266.5600,0.000091
FILLER_93_567,VGND,li1,266.5700,266.5600,0.000044
FILLER_93_564,VGND,li1,265.6500,266.5600,0.000044
FILLER_93_561,VGND,li1,264.2700,266.5600,0.000044
FILLER_93_517,VGND,li1,243.5700,266.5600,0.000077
FILLER_93_514,VGND,li1,242.6500,266.5600,0.000077
FILLER_93_446,VGND,li1,211.1400,266.5600,0.000086
FILLER_93_410,VGND,li1,194.8100,266.5600,0.000078
FILLER_93_390,VGND,li1,185.3800,266.5600,0.000131
FILLER_93_356,VGND,li1,169.9700,266.5600,0.000133
FILLER_93_346,VGND,li1,164.9100,266.5600,0.000110
FILLER_93_281,VGND,li1,135.0100,266.5600,0.000098
FILLER_93_273,VGND,li1,131.3300,266.5600,0.000096
FILLER_93_251,VGND,li1,121.2100,266.5600,0.000086
FILLER_93_205,VGND,li1,100.2800,266.5600,0.000069
FILLER_93_186,VGND,li1,91.5400,266.5600,0.000098
FILLER_93_113,VGND,li1,58.1900,266.5600,0.000136
FILLER_93_60,VGND,li1,33.3500,266.5600,0.000117
FILLER_93_57,VGND,li1,32.4300,266.5600,0.000117
FILLER_93_20,VGND,li1,15.1800,266.5600,0.000062
