Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_97_514,VPWR,li1,242.6500,274.7200,1.799826
FILLER_97_501,VPWR,li1,236.6700,274.7200,1.799811
FILLER_97_498,VPWR,li1,235.2900,274.7200,1.799811
FILLER_97_488,VPWR,li1,230.2300,274.7200,1.799836
FILLER_97_461,VPWR,li1,218.0400,274.7200,1.799900
FILLER_97_449,VPWR,li1,212.7500,274.7200,1.799895
FILLER_97_446,VPWR,li1,211.1400,274.7200,1.799894
FILLER_97_427,VPWR,li1,202.4000,274.7200,1.799899
FILLER_97_401,VPWR,li1,190.2100,274.7200,1.799915
FILLER_97_391,VPWR,li1,185.6100,274.7200,1.799871
FILLER_97_340,VPWR,li1,162.1500,274.7200,1.799897
FILLER_97_337,VPWR,li1,161.2300,274.7200,1.799909
FILLER_97_333,VPWR,li1,159.3900,274.7200,1.799898
FILLER_97_330,VPWR,li1,158.0100,274.7200,1.799898
FILLER_97_301,VPWR,li1,144.6700,274.7200,1.799842
FILLER_97_195,VPWR,li1,95.4500,274.7200,1.799859
FILLER_97_169,VPWR,li1,83.4900,274.7200,1.799873
FILLER_97_148,VPWR,li1,74.2900,274.7200,1.799915
FILLER_97_113,VPWR,li1,57.7300,274.7200,1.799909
FILLER_97_92,VPWR,li1,48.5300,274.7200,1.799922
FILLER_97_57,VPWR,li1,31.9700,274.7200,1.799904
FILLER_97_29,VPWR,li1,19.3200,274.7200,1.799909
FILLER_96_594,VPWR,li1,278.9900,274.7200,1.799935
FILLER_96_591,VPWR,li1,278.0700,274.7200,1.799935
FILLER_96_536,VPWR,li1,252.3100,274.7200,1.799880
FILLER_96_533,VPWR,li1,251.3900,274.7200,1.799890
FILLER_96_531,VPWR,li1,250.0100,274.7200,1.799890
FILLER_96_519,VPWR,li1,244.9500,274.7200,1.799845
FILLER_96_474,VPWR,li1,224.0200,274.7200,1.799874
FILLER_96_424,VPWR,li1,200.7900,274.7200,1.799899
FILLER_96_421,VPWR,li1,199.8700,274.7200,1.799901
FILLER_96_418,VPWR,li1,198.2600,274.7200,1.799903
FILLER_96_409,VPWR,li1,194.3500,274.7200,1.799907
FILLER_96_406,VPWR,li1,192.9700,274.7200,1.799911
FILLER_96_371,VPWR,li1,176.4100,274.7200,1.799854
FILLER_96_368,VPWR,li1,175.4900,274.7200,1.799849
FILLER_96_365,VPWR,li1,174.1100,274.7200,1.799849
FILLER_96_363,VPWR,li1,172.7300,274.7200,1.799856
FILLER_96_349,VPWR,li1,166.2900,274.7200,1.799875
FILLER_96_337,VPWR,li1,161.2300,274.7200,1.799909
FILLER_96_334,VPWR,li1,159.8500,274.7200,1.799909
FILLER_96_290,VPWR,li1,139.1500,274.7200,1.799841
FILLER_96_253,VPWR,li1,122.3600,274.7200,1.799838
FILLER_96_221,VPWR,li1,107.4100,274.7200,1.799848
FILLER_96_182,VPWR,li1,89.4700,274.7200,1.799857
FILLER_96_177,VPWR,li1,87.1700,274.7200,1.799857
FILLER_96_167,VPWR,li1,82.8000,274.7200,1.799873
FILLER_96_141,VPWR,li1,70.6100,274.7200,1.799929
FILLER_96_134,VPWR,li1,67.6200,274.7200,1.799921
FILLER_96_101,VPWR,li1,52.6700,274.7200,1.799914
FILLER_96_85,VPWR,li1,45.3100,274.7200,1.799926
FILLER_96_72,VPWR,li1,39.3300,274.7200,1.799937
FILLER_96_62,VPWR,li1,34.2700,274.7200,1.799913
FILLER_96_27,VPWR,li1,18.1700,274.7200,1.799916
FILLER_96_9,VPWR,li1,9.8900,274.7200,1.799954
FILLER_96_6,VPWR,li1,8.9700,274.7200,1.799954
FILLER_96_3,VPWR,li1,7.5900,274.7200,1.799954
FILLER_95_611,VPWR,li1,286.8100,269.2800,1.799965
FILLER_95_608,VPWR,li1,285.8900,269.2800,1.799965
FILLER_95_605,VPWR,li1,284.5100,269.2800,1.799965
FILLER_95_584,VPWR,li1,274.3900,269.2800,1.799947
FILLER_95_581,VPWR,li1,273.4700,269.2800,1.799945
FILLER_95_578,VPWR,li1,272.0900,269.2800,1.799945
FILLER_95_538,VPWR,li1,253.4600,269.2800,1.799944
FILLER_95_501,VPWR,li1,236.6700,269.2800,1.799925
FILLER_95_466,VPWR,li1,220.1100,269.2800,1.799950
FILLER_95_428,VPWR,li1,203.0900,269.2800,1.799914
FILLER_95_425,VPWR,li1,201.7100,269.2800,1.799914
FILLER_95_413,VPWR,li1,196.1900,269.2800,1.799907
FILLER_95_393,VPWR,li1,186.9900,269.2800,1.799889
FILLER_95_358,VPWR,li1,170.4300,269.2800,1.799842
FILLER_95_333,VPWR,li1,159.3900,269.2800,1.799893
FILLER_95_330,VPWR,li1,158.0100,269.2800,1.799893
FILLER_95_298,VPWR,li1,143.0600,269.2800,1.799848
FILLER_95_225,VPWR,li1,109.2500,269.2800,1.799880
FILLER_95_211,VPWR,li1,102.8100,269.2800,1.799903
FILLER_95_197,VPWR,li1,96.6000,269.2800,1.799899
FILLER_95_169,VPWR,li1,83.9500,269.2800,1.799887
FILLER_95_165,VPWR,li1,82.1100,269.2800,1.799890
FILLER_95_149,VPWR,li1,74.7500,269.2800,1.799907
FILLER_95_122,VPWR,li1,62.1000,269.2800,1.799885
FILLER_95_66,VPWR,li1,36.1100,269.2800,1.799883
FILLER_95_55,VPWR,li1,31.0500,269.2800,1.799886
FILLER_95_44,VPWR,li1,26.2200,269.2800,1.799894
FILLER_95_24,VPWR,li1,17.2500,269.2800,1.799930
FILLER_95_3,VPWR,li1,7.5900,269.2800,1.799960
FILLER_94_611,VPWR,li1,286.8100,269.2800,1.799965
FILLER_94_592,VPWR,li1,278.3000,269.2800,1.799958
FILLER_94_589,VPWR,li1,277.1500,269.2800,1.799950
FILLER_94_585,VPWR,li1,275.3100,269.2800,1.799947
FILLER_94_582,VPWR,li1,273.9300,269.2800,1.799947
FILLER_94_564,VPWR,li1,265.1900,269.2800,1.799941
FILLER_94_561,VPWR,li1,264.2700,269.2800,1.799941
FILLER_94_558,VPWR,li1,262.8900,269.2800,1.799941
FILLER_94_547,VPWR,li1,257.6000,269.2800,1.799943
FILLER_94_531,VPWR,li1,250.0100,269.2800,1.799954
FILLER_94_521,VPWR,li1,245.4100,269.2800,1.799940
FILLER_94_518,VPWR,li1,244.4900,269.2800,1.799940
FILLER_94_500,VPWR,li1,235.7500,269.2800,1.799922
FILLER_94_486,VPWR,li1,229.3100,269.2800,1.799929
FILLER_94_432,VPWR,li1,204.7000,269.2800,1.799917
FILLER_94_421,VPWR,li1,199.6400,269.2800,1.799909
FILLER_94_417,VPWR,li1,198.0300,269.2800,1.799909
FILLER_94_398,VPWR,li1,189.0600,269.2800,1.799910
FILLER_94_393,VPWR,li1,186.5300,269.2800,1.799877
FILLER_94_374,VPWR,li1,178.0200,269.2800,1.799848
FILLER_94_363,VPWR,li1,172.7300,269.2800,1.799838
FILLER_94_298,VPWR,li1,143.0600,269.2800,1.799848
FILLER_94_279,VPWR,li1,134.5500,269.2800,1.799865
FILLER_94_257,VPWR,li1,124.2000,269.2800,1.799852
FILLER_94_250,VPWR,li1,120.9800,269.2800,1.799848
FILLER_94_197,VPWR,li1,96.3700,269.2800,1.799899
FILLER_94_151,VPWR,li1,75.6700,269.2800,1.799907
FILLER_94_141,VPWR,li1,70.6100,269.2800,1.799923
FILLER_94_103,VPWR,li1,53.5900,269.2800,1.799860
FILLER_94_85,VPWR,li1,44.8500,269.2800,1.799854
FILLER_94_66,VPWR,li1,36.5700,269.2800,1.799883
FILLER_94_29,VPWR,li1,19.5500,269.2800,1.799920
FILLER_93_567,VPWR,li1,266.5700,263.8400,1.799954
FILLER_93_564,VPWR,li1,265.6500,263.8400,1.799954
FILLER_93_561,VPWR,li1,264.2700,263.8400,1.799954
FILLER_93_517,VPWR,li1,243.5700,263.8400,1.799942
FILLER_93_514,VPWR,li1,242.6500,263.8400,1.799942
FILLER_93_446,VPWR,li1,211.1400,263.8400,1.799918
FILLER_93_410,VPWR,li1,194.8100,263.8400,1.799923
FILLER_93_390,VPWR,li1,185.3800,263.8400,1.799929
FILLER_93_356,VPWR,li1,169.9700,263.8400,1.799922
FILLER_93_346,VPWR,li1,164.9100,263.8400,1.799928
FILLER_93_281,VPWR,li1,135.0100,263.8400,1.799945
FILLER_93_273,VPWR,li1,131.3300,263.8400,1.799957
FILLER_93_251,VPWR,li1,121.2100,263.8400,1.799942
FILLER_93_205,VPWR,li1,100.2800,263.8400,1.799942
FILLER_93_186,VPWR,li1,91.5400,263.8400,1.799895
FILLER_93_113,VPWR,li1,58.1900,263.8400,1.799861
FILLER_93_60,VPWR,li1,33.3500,263.8400,1.799848
FILLER_93_57,VPWR,li1,32.4300,263.8400,1.799848
FILLER_93_20,VPWR,li1,15.1800,263.8400,1.799888
FILLER_92_592,VPWR,li1,278.5300,263.8400,1.799969
FILLER_92_589,VPWR,li1,277.1500,263.8400,1.799964
FILLER_92_587,VPWR,li1,275.7700,263.8400,1.799964
FILLER_92_542,VPWR,li1,255.5300,263.8400,1.799955
FILLER_92_531,VPWR,li1,250.0100,263.8400,1.799961
FILLER_92_501,VPWR,li1,236.2100,263.8400,1.799926
FILLER_92_419,VPWR,li1,198.4900,263.8400,1.799911
FILLER_92_363,VPWR,li1,172.7300,263.8400,1.799919
FILLER_92_339,VPWR,li1,162.1500,263.8400,1.799933
FILLER_92_305,VPWR,li1,146.5100,263.8400,1.799934
FILLER_92_269,VPWR,li1,129.9500,263.8400,1.799957
FILLER_92_253,VPWR,li1,122.5900,263.8400,1.799942
FILLER_92_245,VPWR,li1,118.9100,263.8400,1.799941
FILLER_92_214,VPWR,li1,104.1900,263.8400,1.799939
FILLER_92_195,VPWR,li1,95.4500,263.8400,1.799914
FILLER_92_184,VPWR,li1,90.8500,263.8400,1.799895
FILLER_92_166,VPWR,li1,82.3400,263.8400,1.799876
FILLER_92_118,VPWR,li1,60.0300,263.8400,1.799867
FILLER_92_75,VPWR,li1,40.2500,263.8400,1.799896
FILLER_92_3,VPWR,li1,7.1300,263.8400,1.799924
FILLER_91_602,VPWR,li1,282.6700,258.4000,1.799952
FILLER_91_599,VPWR,li1,281.7500,258.4000,1.799956
FILLER_91_581,VPWR,li1,273.0100,258.4000,1.799934
FILLER_91_561,VPWR,li1,263.8100,258.4000,1.799913
FILLER_91_557,VPWR,li1,262.4300,258.4000,1.799913
FILLER_91_541,VPWR,li1,254.8400,258.4000,1.799904
FILLER_91_517,VPWR,li1,243.8000,258.4000,1.799846
FILLER_91_514,VPWR,li1,242.6500,258.4000,1.799828
FILLER_91_487,VPWR,li1,230.0000,258.4000,1.799817
FILLER_91_391,VPWR,li1,185.6100,258.4000,1.799887
FILLER_91_371,VPWR,li1,176.8700,258.4000,1.799873
FILLER_91_345,VPWR,li1,164.4500,258.4000,1.799904
FILLER_91_333,VPWR,li1,159.3900,258.4000,1.799922
FILLER_91_330,VPWR,li1,158.0100,258.4000,1.799922
FILLER_91_320,VPWR,li1,152.9500,258.4000,1.799913
FILLER_91_317,VPWR,li1,152.0300,258.4000,1.799913
FILLER_91_290,VPWR,li1,139.3800,258.4000,1.799918
FILLER_91_211,VPWR,li1,102.8100,258.4000,1.799923
FILLER_91_177,VPWR,li1,87.1700,258.4000,1.799895
FILLER_91_144,VPWR,li1,72.4500,258.4000,1.799915
